Reading,Word,Category
あーくくらいしす,DDDD偉次元王アーク・クライシス,短縮よみ
あーくくらいしす,アーク・クライシス
いじげんおう,偉次元王
いじげんのけいやくしょ,異次元の契約書
えくすとらさーべいやー,DDエクストラ・サーベイヤー,短縮よみ
えくすとらさーべいやー,エクストラ・サーベイヤー
かうんとさーべいやー,DDカウント・サーベイヤー,短縮よみ
かうんとさーべいやー,カウント・サーベイヤー
くろゔぃす,DDD創始王クロヴィス,短縮よみ
くろゔぃす,クロヴィス
けいやくしょ,契約書
すけーるさーべいやー,DDスケール・サーベイヤー,短縮よみ
すけーるさーべいやー,スケール・サーベイヤー
ぜうすらぐなろく,DDD天空王ゼウス・ラグナロク,短縮よみ
ぜうすらぐなろく,ゼウス・ラグナロク
ぜろまきな,DDD零死王ゼロ・マキナ,短縮読み
ぜろまきな,ゼロ・マキナ
そうしおう,創始王
そろもん,DDD智慧王ソロモン,短縮よみ
そろもん,ソロモン
ちけいおう,智慧王
てんくうおう,天空王
でぃふぇんすそるじゃー,DDディフェンス・ソルジャー,短縮よみ
でぃふぇんすそるじゃー,ディフェンス・ソルジャー
らんすそるじゃー,DDランス・ソルジャー,短縮よみ
らんすそるじゃー,ランス・ソルジャー
れいおうのけいやくしょ,零王の契約書
れいじおう,零死王
でぃーでぃー,DD
でぃーでぃーえくすとらさーべいやー,DDエクストラ・サーベイヤー
でぃーでぃーかうんとさーべいやー,DDカウント・サーベイヤー
でぃーでぃーすけーるさーべいやー,DDスケール・サーベイヤー
でぃーでぃーでぃー,DDD
でぃーでぃーでぃーそうしおうくろゔぃす,DDD創始王クロヴィス
でぃーでぃーでぃーちけいおうそろもん,DDD智慧王ソロモン
でぃーでぃーでぃーてんくうおうぜうすらぐなろく,DDD天空王ゼウス・ラグナロク
でぃーでぃーでぃーでぃー,DDDD
でぃーでぃーでぃーでぃーいじげんおうあーくくらいしす,DDDD偉次元王アーク・クライシス
でぃーでぃーでぃーれいじおうぜろまきな,DDD零死王ゼロ・マキナ
でぃーでぃーでぃふぇんすそるじゃー,DDディフェンス・ソルジャー
でぃーでぃーらんすそるじゃー,DDランス・ソルジャー
