Reading,Word,Category
あるとめぎあ,アルトメギア
あるとめぎあ,神芸学徒
あるとめぎあ,神芸学都アルトメギア,短縮よみ
あるとめぎあ,神芸獄徒
あるとめぎあゔぁんだりずむしゅうげき,アルトメギア・ヴァンダリズム－襲撃－
あるとめぎあぐらふれあ,神芸学徒 グラフレア
あるとめぎあでぃあくとろす,神芸獄徒 ディアクトロス
あるとめぎあのごくしんじゅう,アルトメギアの獄神獣
あるとめぎあばーにっしゅかいへん,アルトメギア・バーニッシュ－改変－
あるとめぎあふぁいんめると,神芸学徒 ファインメルト
あるとめぎあますたーわーくけいしょう,アルトメギア・マスターワーク－継承－
あるとめぎあめせなかくせい,アルトメギア・メセナ－覚醒－
あるとめぎありてら,神芸学徒 リテラ
ゔぁんだりずむ,アルトメギア・ヴァンダリズム－襲撃－,短縮よみ
かいへん,アルトメギア・バーニッシュ－改変－,短縮よみ
かくせい,アルトメギア・メセナ－覚醒－,短縮よみ
ぐらふれあ,グラフレア
ぐらふれあ,神芸学徒 グラフレア,短縮よみ
けいしょう,アルトメギア・マスターワーク－継承－,短縮よみ
ごくしんじゅう,獄神獣
しゅうげき,アルトメギア・ヴァンダリズム－襲撃－,短縮よみ
しんげいがくと,神芸学都
しんげいがくとあるとめぎあ,神芸学都アルトメギア
そうごくしん,創獄神
そうごくしんねるゔぁ,創獄神ネルヴァ
でぃあくとろす,ディアクトロス
でぃあくとろす,神芸獄徒 ディアクトロス,短縮よみ
ておりあらいず,無垢なる予幻視
ばーにっしゅ,アルトメギア・バーニッシュ－改変－,短縮よみ
ふぁいんめると,ファインメルト
ふぁいんめると,神芸学徒 ファインメルト,短縮よみ
ますたーわーく,アルトメギア・マスターワーク－継承－,短縮よみ
むくなるもの,無垢なる者
むくなるものめでぃうす,無垢なる者 メディウス
めせな,アルトメギア・メセナ－覚醒－,短縮よみ
めでぃうす,メディウス
めでぃうす,無垢なる者 メディウス,短縮よみ
りてら,リテラ
りてら,神芸学徒 リテラ,短縮よみ
