Reading,Word,Category
あかのせいじょ,赫の聖女
あかのせいじょかるてしあ,赫の聖女カルテシア
あるばしすてむどらぐまーた,白の枢機竜
あるばす,アルバス
あるばすのらくいん,アルバスの落胤
あるばれなとぅす,アルバ・レナトゥス
あるばれなとぅす,深淵竜アルバ・レナトゥス,短縮よみ
あるびおん,アルビオン
あるびおん,烙印竜アルビオン,短縮よみ
あるびおん,黒衣竜アルビオン,短縮よみ
あるびおん,真炎竜アルビオン,短縮よみ
えくれしあ,エクレシア
えくれしあ,白の聖女エクレシア,短縮よみ
かいじん,灰燼
かいじんのあるばす,灰燼のアルバス
かいじんりゅう,灰燼竜
かいじんりゅうばすたーど,灰燼竜バスタード
かるてしあ,カルテシア
かるてしあ,赫の聖女カルテシア,短縮よみ
くえむ,クエム
くえむ,導きの聖女クエム,短縮よみ
くろごりゅう,黒衣竜
くろごりゅうあるびおん,黒衣竜アルビオン
げきてつりゅう,撃鉄竜
げきてつりゅうりんどぶるむ,撃鉄竜リンドブルム
こんじきりゅう,痕喰竜
こんじきりゅうぶりがんど,痕喰竜ブリガンド
しろのせいじょ,白の聖女
しろのせいじょえくれしあ,白の聖女エクレシア
しんえんりゅう,深淵竜
しんえんりゅう,真炎竜
しんえんりゅう,神炎竜
しんえんりゅうあるばれなとぅす,深淵竜アルバ・レナトゥス
しんえんりゅうあるびおん,真炎竜アルビオン
しんえんりゅうるべりおん,神炎竜ルベリオン
すぷりんど,スプリンド
すぷりんど,鉄駆竜スプリンド,短縮よみ
せいこんくらいしりゅう,聖痕喰らいし竜
てっくりゅう,鉄駆竜
てっくりゅうすぷりんど,鉄駆竜スプリンド
どらぐまーた,白の枢機竜,短縮よみ
ばすたーど,バスタード
ばすたーど,灰燼竜バスタード,短縮よみ
ひけんりゅう,氷剣竜
ひけんりゅうみらじぇいど,氷剣竜ミラジェイド
ひらかれしだいち,開かれし大地
ぶりがんど,ブリガンド
ぶりがんど,痕喰竜ブリガンド,短縮よみ
みちびきのせいじょ,導きの聖女
みちびきのせいじょくえむ,導きの聖女クエム
みらじぇいど,ミラジェイド
みらじぇいど,氷剣竜ミラジェイド,短縮よみ
らくいんりゅう,烙印竜
らくいんりゅうあるびおん,烙印竜アルビオン
りんどぶるむ,リンドブルム
りんどぶるむ,撃鉄竜リンドブルム,短縮よみ
るべりおん,ルベリオン
るべりおん,神炎竜ルベリオン,短縮よみ
