Reading,Word,Category
あふたーぐろうどらごん,銀河眼の残光竜,短縮よみ
えたーなるぎゃらくしー,永遠なる銀河
きぼうのてんけい,希望の天啓
ぎゃらくしーあいず,銀河眼
ぎゃらくしーあいずあふたーぐろうどらごん,銀河眼の残光竜
ぎゃらくしーあいずくらうどらごん,銀河眼の雲篭
ぎゃらくしーあいずさいふぁーえくすどらごん,銀河眼の極光波竜
ぎゃらくしーあいずさいふぁーどらごん,銀河眼の光波竜
ぎゃらくしーあいずさいふぁーぶれーどどらごん,銀河眼の光波刃竜
ぎゃらくしーあいずそるふれあどらごん,銀河眼の煌星竜
ぎゃらくしーあいずたきおんどらごん,銀河眼の時空竜
ぎゃらくしーあいずたきおんぷらいまる,銀河眼の時源竜
ぎゃらくしーあいずふぉとんどらごん,銀河眼の光子竜
ぎゃらくしーあいずふぉとんろーど,銀河眼の光子卿
ぎゃらくしーあいずぷらいむふぉとんどらごん,銀河眼の光子竜皇
ぎゃらくしーうぃざーど,銀河の魔導師
ぎゃらくしーうぉーどれいく,銀河戦竜
ぎゃらくしーえくすぺでぃしょん,銀河遠征
ぎゃらくしーさてらいとどらごん,銀河衛竜
ぎゃらくしーさもなー,銀河の召喚師
ぎゃらくしーじゃーにー,銀河超航行
ぎゃらくしーすてるすどらごん,銀河影竜
ぎゃらくしーぜろ,銀河零式
ぎゃらくしーそるじゃー,銀河戦士
ぎゃらくしーてぃらの,銀河暴竜
ぎゃらくしーとらんさー,銀河天翔
ぎゃらくしーないと,銀河騎士
ぎゃらくしーはんどれっど,銀河百式
ぎゃらくしーふぉとんどらごん,銀河光子竜
ぎゃらくしーぷりーすと,銀河の修道師
ぎゃらくしーぶれいばー,銀河剣聖
ぎゃらくしーみらーせいじ,銀河魔鏡士
くらうどらごん,雲篭
さいふぁー,光波
さいふぁーえくすどらごん,銀河眼の極光波竜,短縮よみ
さいふぁーどらごん,銀河眼の光波竜,短縮よみ
さいふぁーぶれーどどらごん,銀河眼の光波刃竜,短縮よみ
そるふれあどらごん,銀河眼の煌星竜,短縮よみ
たきおんかおすほーる,時空混沌渦
たきおんくらうどらごん,時空の雲篭
たきおんどらごん,銀河眼の時空竜,短縮よみ
たきおんぷらいまる,銀河眼の時源竜,短縮よみ
ねおぎゃらくしーあいずさいふぁーどらごん,超銀河眼の光波龍
ねおぎゃらくしーあいずたきおんどらごん,超銀河眼の時空龍
ねおぎゃらくしーあいずふぉとんどらごん,超銀河眼の光子龍
ねおぎゃらくしーあいずぷらいむふぉとんどらごん,超銀河眼の光子龍皇
ねおさいふぁー,超銀河眼の光波龍,短縮よみ
ねおたきおん,超銀河眼の時空龍,短縮よみ
ねおふぉとん,超銀河眼の光子龍,短縮よみ
ねおぷらいむふぉとん,超銀河眼の光子龍皇,短縮よみ
ふぉとん,光子
ふぉとんどらごん,銀河眼の光子竜,短縮よみ
ふぉとんろーど,銀河眼の光子卿,短縮よみ
ぷらいむふぉとんどらごん,銀河眼の光子竜皇,短縮よみ
