Reading,Word,Category
あがないのえんぶれーま,贖いのエンブレーマ
あとりぃ,アトリィ
あとりぃ,竜騎士アトリィ,短縮よみ
あーくしーら,アークシーラ
あーくしーら,騎士皇アークシーラ,短縮よみ
うぇいくあっぷ,ウェイクアップ・センチュリオン！,短縮よみ
うぇいくあっぷせんちゅりおん,ウェイクアップ・センチュリオン！
えめとぜくす,エメトⅥ
えめとぜくす,重騎兵エメトⅥ,短縮よみ
えんぶれーま,エンブレーマ
がーごいるつゔぁい,ガーゴイルⅡ
がーごいるつゔぁい,竜騎兵ガーゴイルⅡ,短縮よみ
しめーりあ,シメーリア
しめーりあ,影騎士シメーリア,短縮よみ
すたんどあっぷ,スタンドアップ・センチュリオン！,短縮よみ
すたんどあっぷせんちゅりおん,スタンドアップ・センチュリオン！
せんちゅりおん,センチュリオン
せんちゅりおん,重騎兵
せんちゅりおん,従騎士
せんちゅりおん,重騎士
せんちゅりおん,騎士皇
せんちゅりおん,竜騎兵
せんちゅりおん,竜騎士
せんちゅりおん,影騎士
せんちゅりおんあとりぃ,竜騎士アトリィ
せんちゅりおんあーくしーら,騎士皇アークシーラ
せんちゅりおんえめとぜくす,重騎兵エメトⅥ
せんちゅりおんがーごいるつゔぁい,竜騎兵ガーゴイルⅡ
せんちゅりおんしめーりあ,影騎士シメーリア
せんちゅりおんとぅるーであ,従騎士トゥルーデア
せんちゅりおんふぁらんくす,騎士魔防陣
せんちゅりおんぷりめら,重騎士プリメラ
せんちゅりおんぷりめらぷりむす,騎士皇プリメラ・プリムス
せんちゅりおんれがーてぃあ,騎士皇レガーティア
ちかいのえんぶれーま,誓いのエンブレーマ
とぅるーす,騎士皇爆誕,短縮よみ
とぅるーすせんちゅりおん,騎士皇爆誕
とぅるーであ,トゥルーデア
とぅるーであ,従騎士トゥルーデア,短縮よみ
ふぁらんくす,騎士魔防陣,短縮よみ
ふぇいすおぶ,騎士の絆,短縮よみ
ふぇいすおぶせんちゅりおん,騎士の絆
ぷりめら,プリメラ
ぷりめら,重騎士プリメラ,短縮よみ
ぷりめらぷりむす,プリメラ・プリムス
ぷりめらぷりむす,騎士皇プリメラ・プリムス,短縮よみ
れがーてぃあ,レガーティア
れがーてぃあ,騎士皇レガーティア,短縮よみ
