Reading,Word,Category
あだばな,徒花
えあぼーん,凶襲
えあぼーん,鉄獣の凶襲,短縮よみ
おーす,血盟
おーす,鉄獣の血盟,短縮よみ
かいげき,塊撃
きっと,キット
きっと,鉄獣戦線 キット,短縮よみ
きょうちょう,凶鳥
ぎんだん,銀弾
けらす,ケラス
けらす,鉄獣戦線 ケラス,短縮よみ
しゅらいぐ,シュライグ
しゅらいぐ,鉄獣戦線 凶鳥のシュライグ,短縮よみ
でっどらいん,死線
でっどらいん,鉄獣の死線,短縮よみ
とらいぶりげーど,トライブリゲード
とらいぶりげーど,鉄獣戦線
とらいぶりげーど,鉄獣鳥
とらいぶりげーどあーむず,鉄獣式強襲機動兵装改
とらいぶりげーどあーむず,鉄獣式撃滅兵装
とらいぶりげーどあーむずぶーけふぁるすつー,鉄獣式強襲機動兵装改“BucephalusⅡ”
とらいぶりげーどあーむずまうざー,鉄獣式撃滅兵装“Mouser”
とらいぶりげーどあだばなのふぇりじっと,鉄獣戦線 徒花のフェリジット
とらいぶりげーどえあぼーん,鉄獣の凶襲
とらいぶりげーどおーす,鉄獣の血盟
とらいぶりげーどかいげきのべあぶるむ,鉄獣戦線 塊撃のベアブルム
とらいぶりげーどきっと,鉄獣戦線 キット
とらいぶりげーどきょうちょうのしゅらいぐ,鉄獣戦線 凶鳥のシュライグ
とらいぶりげーどぎんだんのるがる,鉄獣戦線 銀弾のルガル
とらいぶりげーどけらす,鉄獣戦線 ケラス
とらいぶりげーどでっどらいん,鉄獣の死線
とらいぶりげーどなーべる,鉄獣戦線 ナーベル
とらいぶりげーどはんまー,鉄獣の撃鉄
とらいぶりげーどふらくとーる,鉄獣戦線 フラクトール
とらいぶりげーどめるくーりえ,鉄獣鳥 メルクーリエ
とらいぶりげーどらいん,鉄獣の戦線
とらいぶりげーどらんでぶー,鉄獣の邂逅
とらいぶりげーとりぼると,鉄獣の抗戦
とらいぶりげーどろあー,鉄獣の咆哮
なーべる,ナーベル
なーべる,鉄獣戦線 ナーベル,短縮よみ
はんまー,撃鉄
はんまー,鉄獣の撃鉄,短縮よみ
ふぇりじっと,フェリジット
ふぇりじっと,鉄獣戦線 徒花のフェリジット,短縮よみ
ふらくとーる,フラクトール
ふらくとーる,鉄獣戦線 フラクトール,短縮よみ
ぶーけふぁるすつー,鉄獣式強襲機動兵装改“BucephalusⅡ”,短縮よみ
ぶーけふぁるすつー,BucephalusⅡ
べあぶるむ,ベアブルム
べあぶるむ,鉄獣戦線 塊撃のベアブルム,短縮よみ
まうざー,Mouser
まうざー,鉄獣式撃滅兵装“Mouser”,短縮よみ
めるくーりえ,メルクーリエ
めるくーりえ,鉄獣鳥 メルクーリエ,短縮よみ
らいん,戦線
らいん,鉄獣の戦線,短縮よみ
らんでぶー,邂逅
らんでぶー,鉄獣の邂逅,短縮よみ
りぼると,抗戦
りぼると,鉄獣の抗戦,短縮よみ
るがる,ルガル
るがる,鉄獣戦線 銀弾のルガル,短縮よみ
ろあー,咆哮
ろあー,鉄獣の咆哮,短縮よみ
