Reading,Word,Category
なんばーず,No.
かおすなんばーず,CNo.
かおすいまじなりーなんばーず,CiNo.
しゃいにんぐなんばーず,SNo.
ふゅーちゃーなんばーず,FNo.
かおすえくしーず,CX
げーとおぶぬめろんえーかむ,No.1 ゲート・オブ・ヌメロン－エーカム,短縮よみ
えーかむ,No.1 ゲート・オブ・ヌメロン－エーカム,短縮よみ
げーとおぶぬめろん,ゲート・オブ・ヌメロン
げーとおぶかおすぬめろんしにゅーにゃ,CNo.1 ゲート・オブ・カオス・ヌメロン－シニューニャ,短縮よみ
しにゅーにゃ,CNo.1 ゲート・オブ・カオス・ヌメロン－シニューニャ,短縮よみ
げーとおぶかおすぬめろん,ゲート・オブ・カオス・ヌメロン
げーとおぶぬめろんどぅゔぇー,No.2 ゲート・オブ・ヌメロン－ドゥヴェー,短縮よみ
どぅゔぇー,No.2 ゲート・オブ・ヌメロン－ドゥヴェー,短縮よみ
げーとおぶぬめろんとぅりーに,No.3 ゲート・オブ・ヌメロン－トゥリーニ,短縮よみ
とぅりーに,No.3 ゲート・オブ・ヌメロン－トゥリーニ,短縮よみ
げーとおぶぬめろんちゃとぅゔぁーり,No.4 ゲート・オブ・ヌメロン－チャトゥヴァーリ,短縮よみ
ちゃとぅゔぁーり,No.4 ゲート・オブ・ヌメロン－チャトゥヴァーリ,短縮よみ
もうろうりゅうですきまいらどらごん,No.5 亡朧竜 デス・キマイラ・ドラゴン,短縮よみ
ですきまいらどらごん,No.5 亡朧竜 デス・キマイラ・ドラゴン,短縮よみ
もうろうりゅう,亡朧竜
もうろうりゅうかおすきまいらどらごん,CNo.5 亡朧龍 カオス・キマイラ・ドラゴン,短縮よみ
かおすきまいらどらごん,CNo.5 亡朧龍 カオス・キマイラ・ドラゴン,短縮よみ
もうろうりゅう,亡朧龍
おーぱーつあとらんたeる,No.6 先史遺産アトランタル,短縮よみ
あとらんたる,No.6 先史遺産アトランタル,短縮よみ
おーぱーつかおすあとらんたる,CNo.6 先史遺産カオス・アトランタル,短縮よみ
かおすあとらんたる,CNo.6 先史遺産カオス・アトランタル,短縮よみ
らっきーすとらいぷ,No.7 ラッキー・ストライプ,短縮よみ
もんしょうおうげのむへりたー,No.8 紋章王ゲノム・ヘリター,短縮よみ
げのむへりたー,No.8 紋章王ゲノム・ヘリター,短縮よみ
もんしょうおう,紋章王
てんがいせいだいそんすふぃあ,No.9 天蓋星ダイソン・スフィア,短縮よみ
だいそんすふぃあ,No.9 天蓋星ダイソン・スフィア,短縮よみ
てんがいせい,天蓋星
てんがいようせいかおすだいそんすふぃあ,CNo.9 天蓋妖星カオス・ダイソン・スフィア,短縮よみ
かおすだいそんすふぃあ,CNo.9 天蓋妖星カオス・ダイソン・スフィア,短縮よみ
てんがいようせい,天蓋妖星
しろきしいるみねーたー,No.10 白輝士イルミネーター,短縮よみ
いるみねーたー,No.10 白輝士イルミネーター,短縮よみ
しろきし,白輝士
びっぐあい,No.11 ビッグ・アイ,短縮よみ
きこうにんじゃくりむぞんしゃどー,No.12 機甲忍者クリムゾン・シャドー,短縮よみ
くりむぞんしゃどー,No.12 機甲忍者クリムゾン・シャドー,短縮よみ
きこうにんじゃ,機甲忍者
