Reading,Word,Category
あいがんのぎんりゅう,藍眼の銀龍
あおきめ,青き眼
あおきめのいのり,青き眼の祈り
あおきめのせいれい,青き眼の精霊
あるてぃめっとどらごん,究極竜
あるてぃめっとふゅーじょん,究極融合
かいばーまん,カイバーマン
かおす,混沌
しろきおとめ,白き乙女
しろきりゅうのいこう,白き龍の威光
せいがんりゅうごうりん,青眼龍轟臨
せいぎのでんせつかいばーまん,正義の伝説 カイバーマン
そうがんのぎんりゅう,蒼眼の銀龍
だーくすとーむ,ダークストーム・ドラゴン,短縮よみ
だーくすとーむどらごん,ダークストーム・ドラゴン
でぃーぷおぶぶるーあいず,深淵の青眼龍
ないとおぶほわいとどらごん,白竜の聖騎士
ねおかいざーしーほーす,ネオ・カイザー・シーホース
ねおぶるーあいずあるてぃめっとどらごん,真青眼の究極竜
ばーすとすとりーむ,爆裂疾風弾
ぶるーあいず,青眼
ぶるーあいずあるてぃめっとどらごん,青眼の究極竜
ぶるーあいずおるたなてぃぶあるてぃめっとどらごん,青眼の究極亜竜
ぶるーあいずおるたなてぃぶほわいとどらごん,青眼の亜白龍
ぶるーあいずかおすどらごん,青眼の混沌龍
ぶるーあいずしゃいにんぐどらごん,青眼の光龍
ぶるーあいずすぴりっとあるてぃめっとどらごん,青眼の究極霊竜
ぶるーあいずすぴりっとどらごん,青眼の精霊龍
ぶるーあいずついんばーすとどらごん,青眼の双爆裂龍
ぶるーあいずほわいとどらごん,青眼の白龍
ほろびのばーすとすとりーむ,滅びの爆裂疾風弾
ほわいとおぶえんしぇんと,太古の白石
ほわいとおぶれじぇんど,伝説の白石
ますたーおぶどらごんないと,究極竜騎士
ますたーおぶどらごんまぎあ,究極竜魔導師
らいとすとーむ,ライトストーム・ドラゴン,短縮よみ
らいとすとーむどらごん,ライトストーム・ドラゴン
