Reading,Word,Category
あくまじゅう,悪魔獣
あくまじゅうでびるぞあ,悪魔獣デビルゾア
いりゅーじょにすと,幻想師
いりゅーじょにすと,鋼鉄の幻想師,短縮よみ
きょうかはんしゃそうこう,メタル化・強化反射装甲,短縮よみ
きょうかはんしゃそうこう,強化反射装甲
すくらっぷがれーじ,スクラップ・ガレージ
せまりくるましーん,迫りくる機械
そるたいと,ソルタイト
そるたいと,メタル化寄生生物－ソルタイト,短縮よみ
たいむえんじん,時の機械－タイム・エンジン,短縮よみ
でびるぞあ,デビルゾア
でびるぞあ,メタル・デビルゾアX,短縮よみ
でびるぞあ,悪魔獣デビルゾア,短縮よみ
でびるぞあえっくす,デビルゾアX
でびるぞあえっくす,メタル・デビルゾアX,短縮よみ
ときのきかいたいむえんじん,時の機械－タイム・エンジン
にこいち,ニコイチ
ぶらっくふるめたるどらごん,ブラックフルメタルドラゴン
ぶらっくふるめたるどらごん,レッドアイズ・ブラックフルメタルドラゴン,短縮よみ
ぶらっくめたるどらごん,ブラックメタルドラゴン
ぶらっくめたるどらごん,レッドアイズ・ブラックメタルドラゴン,短縮よみ
ふれいむこーてぃんぐ,メタル化・鋼炎装甲,短縮よみ
ふれいむこーてぃんぐ,鋼炎装甲
まほうはんしゃそうこう,メタル化・魔法反射装甲,短縮よみ
まほうはんしゃそうこう,レアメタル化・魔法反射装甲,短縮よみ
まほうはんしゃそうこう,魔法反射装甲
めたるいりゅーじょにすと,鋼鉄の幻想師
めたるか,メタル化
めたるか,メタル化・強化反射装甲,短縮よみ
めたるか,メタル化・魔法反射装甲,短縮よみ
めたるかきせいせいぶつ,メタル化寄生生物
めたるかきせいせいぶつそるたいと,メタル化寄生生物－ソルタイト
めたるかきせいせいぶつるなたいと,メタル化寄生生物－ルナタイト
めたるかきょうかはんしゃそうこう,メタル化・強化反射装甲
めたるかふれいむこーてぃんぐ,メタル化・鋼炎装甲
めたるかまほうはんしゃそうこう,メタル化・魔法反射装甲
めたるくろうどらごん,鋼爪竜
めたるくろうどらごん,真紅眼の鋼爪竜,短縮よみ
めたるでびるぞあ,メタル・デビルゾア
めたるでびるぞあえっくす,メタル・デビルゾアX
めたるふれいむ,鋼炎
めたるふれいむ,鋼炎の剣士,短縮よみ
めたるふれいむそーどまん,鋼炎の剣士
もーたーかいざる,モーター・カイザル
るなたいと,メタル化寄生生物－ルナタイト,短縮よみ
るなたいと,ルナタイト
れあめたるか,レアメタル化
れあめたるか,レアメタル化・魔法反射装甲,短縮よみ
れあめたるかまほうはんしゃそうこう,レアメタル化・魔法反射装甲
れっどあいずぶらっくふるめたるどらごん,レッドアイズ・ブラックフルメタルドラゴン
れっどあいずぶらっくめたるどらごん,レッドアイズ・ブラックメタルドラゴン
れっどあいずめたるくろうどらごん,真紅眼の鋼爪竜
