Reading,Word,Category
ありあす,白銀の城の執事 アリアス,短縮よみ
ありあんな,白銀の城の召使い アリアンナ,短縮よみ
ありあーぬ,白銀の城の召使い アリアーヌ,短縮よみ
うぇるかむらびゅりんす,ウェルカム・ラビュリンス
くっくろっく,白銀の城の狂時計,短縮よみ
くっくろっく,狂時計
さーばんつ,召使い
しゃんどら,白銀の城の竜飾灯,短縮よみ
しゃんどら,竜飾灯
しろがねのしろのらびゅりんす,白銀の城のラビュリンス
すとーびー,白銀の城の火吹炉,短縮よみ
すとーびー,火吹炉
でーもん,魔神像
とらっぷほりっく,トラップホリック
ばとらー,執事
びっぐうぇるかむらびゅりんす,ビッグウェルカム・ラビュリンス
ふぇあーうぇるかむらびゅりんす,フェアーウェルカム・ラビュリンス
らびゅりんす,白銀の城のラビュリンス,短縮よみ
らびゅりんす,ラビュリンス
らびゅりんす,白銀の城
らびゅりんすくっくろっく,白銀の城の狂時計
らびゅりんすさーばんつありあんな,白銀の城の召使い アリアンナ
らびゅりんすさーばんつありあーぬ,白銀の城の召使い アリアーヌ
らびゅりんすしゃんどら,白銀の城の竜飾灯
らびゅりんすすとーびー,白銀の城の火吹炉
らびゅりんすせってぃんぐ,ラビュリンス・セッティング
らびゅりんすでーもん,白銀の城の魔神像
らびゅりんすばとらーありあす,白銀の城の執事 アリアス
らびゅりんすばらーじゅ,ラビュリンス・バラージュ
らびゅりんすらびりんす,白銀の迷宮城
れでぃおぶざらびゅりんす,迷宮城の白銀姫
