Reading,Word,Category
うんめいのうらどら,運命のウラドラ
うんめいのどら,運命のドラ
かいほう,開花
かいほう,燦幻開花,短縮よみ
かいめん,開門
かいめん,燦幻開門,短縮よみ
くじゃくじゃく,九蛇孔雀
げんろく,幻禄
げんろく,幻禄の天盃龍,短縮よみ
げんろくのてんぱいりゅう,幻禄の天盃龍
さかずきみちるさんげんそう,盃満ちる燦幻荘
さんげん,燦幻
さんげんかいほう,燦幻開花
さんげんかいめん,燦幻開門
さんげんしょうりゅう,燦幻昇龍
さんげんしょうりゅうばいでんとどらぎおん,燦幻昇龍バイデント・ドラギオン
さんげんそう,燦幻荘
さんげんそう,盃満ちる燦幻荘,短縮よみ
さんげんちょうりゅう,燦幻超龍
さんげんちょうりゅうとらんせんどどらぎおん,燦幻超龍トランセンド・ドラギオン
さんげんふーろ,燦幻封炉
じゃんしまつ,雀姉妹
ちゅん,天盃龍チュンドラ,サジェストのみ
ちゅんどら,チュンドラ
ちゅんどら,天盃龍チュンドラ,短縮よみ
てんぱいりゅう,天盃龍
てんぱいりゅうちゅんどら,天盃龍チュンドラ
てんぱいりゅうぱいどら,天盃龍パイドラ
てんぱいりゅうふぁどら,天盃龍ファドラ
とらいでんと,トライデント・ドラギオン,短縮よみ
とらいでんとどらぎおん,トライデント・ドラギオン
とらんせんど,燦幻超龍トランセンド・ドラギオン,短縮よみ
とらんせんどどらぎおん,燦幻超龍トランセンド・ドラギオン,短縮よみ
どらどら,ドラ・ドラ
どらどらごん,銅鑼ドラゴン
ばいでんと,燦幻昇龍バイデント・ドラギオン,短縮よみ
ばいでんとどらぎおん,燦幻昇龍バイデント・ドラギオン,短縮よみ
ぱいぱん,天盃龍パイドラ,サジェストのみ
ぱいどら,パイドラ
ぱいどら,天盃龍パイドラ,短縮よみ
はく,天盃龍パイドラ,サジェストのみ
はつ,天盃龍ファドラ,サジェストのみ
ふぁどら,ファドラ
ふぁどら,天盃龍ファドラ,短縮よみ
ふーろ,封炉
ふーろ,燦幻封炉,短縮よみ
ぽけどら,ポケ・ドラ
ほんちゅん,天盃龍チュンドラ,サジェストのみ
りゅうふぁ,天盃龍ファドラ,サジェストのみ
