Reading,Word,Category
あんせいりゅう,闇征竜
あんせいりゅうねびゅらす,闇征竜－ネビュラス
えくれぷしす,エクレプシス
えくれぷしす,凶征竜－エクレプシス,短縮よみ
えんせいりゅう,炎征竜
えんせいりゅう,焔征竜
えんせいりゅうばーなー,炎征竜－バーナー
えんせいりゅうぶらすたー,焔征竜－ブラスター
がんせいりゅう,巌征竜
がんせいりゅうれどっくす,巌征竜－レドックス
きょうせいりゅう,凶征竜
きょうせいりゅうえくれぷしす,凶征竜－エクレプシス
きょくせいりゅう,極征竜
きょくせいりゅうしゃすまてぃす,極征竜－シャスマティス
こうせいりゅう,光征竜
こうせいりゅうすぺくとる,光征竜－スペクトル
しゃすまてぃす,シャスマティス
しゃすまてぃす,極征竜－シャスマティス,短縮よみ
すいせいりゅう,水征竜
すいせいりゅうすとりーむ,水征竜－ストリーム
すとりーむ,ストリーム
すとりーむ,水征竜－ストリーム,短縮よみ
すぺくとる,スペクトル
すぺくとる,光征竜－スペクトル,短縮よみ
せいはりゅう,征覇竜
せいはりゅうぶれいず,征覇竜－ブレイズ
せいりゅう,征竜
たいだる,タイダル
たいだる,瀑征竜－タイダル,短縮よみ
ちせいりゅう,地征竜
ちせいりゅうりあくたん,地征竜－リアクタン
ちょうせいりゅう,超征竜
ちょうせいりゅうでぃざすたー,超征竜－ディザスター
ちょうりゅうさいか,超竜災禍
でぃざすたー,ディザスター
でぃざすたー,超征竜－ディザスター,短縮よみ
てんぺすと,テンペスト
てんぺすと,嵐征竜－テンペスト,短縮よみ
ねびゅらす,ネビュラス
ねびゅらす,闇征竜－ネビュラス,短縮よみ
ばくせいりゅう,瀑征竜
ばくせいりゅうたいだる,瀑征竜－タイダル
ばーなー,バーナー
ばーなー,炎征竜－バーナー,短縮よみ
ふうせいりゅう,風征竜
ふうせいりゅうらいとにんぐ,風征竜－ライトニング
ぶらすたー,ブラスター
ぶらすたー,焔征竜－ブラスター,短縮よみ
ぶれいず,ブレイズ
ぶれいず,征覇竜－ブレイズ,短縮よみ
らいとにんぐ,ライトニング
らいとにんぐ,風征竜－ライトニング,短縮よみ
らんせいりゅう,嵐征竜
らんせいりゅうてんぺすと,嵐征竜－テンペスト
りあくたん,リアクタン
りあくたん,地征竜－リアクタン,短縮よみ
れどっくす,レドックス
れどっくす,巌征竜－レドックス,短縮よみ
