Reading,Word,Category
あんこくかい,暗黒界
あんこくかいにつづくけっかいつうろ,暗黒界に続く結界通路
あんこくかいのいかずち,暗黒界の雷
あんこくかいのいんじゃぱある,暗黒界の隠者 パアル
あんこくかいのえんぐん,暗黒界の援軍
あんこくかいのかいらい,暗黒界の傀儡
あんこくかいのかりうどぶらう,暗黒界の狩人 ブラウ
あんこくかいのきしずーる,暗黒界の騎士 ズール
あんこくかいのきしんけると,暗黒界の鬼神 ケルト
あんこくかいのきょうおうぶろん,暗黒界の狂王 ブロン
あんこくかいのぐんしんしるば,暗黒界の軍神 シルバ
あんこくかいのこんとんおうかられす,暗黒界の混沌王 カラレス
あんこくかいのさくしぐりん,暗黒界の策士 グリン
あんこくかいのしかくかーき,暗黒界の刺客 カーキ
あんこくかいのしょもつ,暗黒界の書物
あんこくかいのせっこうすかー,暗黒界の斥候 スカー
あんこくかいのせんのう,暗黒界の洗脳
あんこくかいのせんぺいべーじ,暗黒界の尖兵 ベージ
あんこくかいのちょうばつ,暗黒界の懲罰
あんこくかいのとうきょく,暗黒界の登極
あんこくかいのとうしんらちな,暗黒界の闘神 ラチナ
あんこくかいのとりひき,暗黒界の取引
あんこくかいのどうしせるり,暗黒界の導師 セルリ
あんこくかいのばんぺいれんじ,暗黒界の番兵 レンジ
あんこくかいのふみどの,暗黒界の文殿
あんこくかいのぶしんごるど,暗黒界の武神 ゴルド
あんこくかいのましんおうれいん,暗黒界の魔神王 レイン
あんこくかいのましんれいん,暗黒界の魔神 レイン
あんこくかいのもん,暗黒界の門
あんこくかいのもんばんぜんた,暗黒界の門番 ゼンタ
あんこくかいのりゅうしんおうぐらふぁ,暗黒界の龍神王 グラファ
あんこくかいのりゅうしんぐらふぁ,暗黒界の龍神 グラファ
あんこくかいろう,暗黒回廊
あんこくよりのぐんぜい,暗黒よりの軍勢
あんんこくかいのじゅつしすのう,暗黒界の術師 スノウ
かられす,暗黒界の混沌王 カラレス,短縮よみ
かーき,暗黒界の刺客 カーキ,短縮よみ
ぐらふぁ,暗黒界の龍神王 グラファ,短縮よみ
ぐらふぁ,暗黒界の龍神 グラファ,短縮よみ
ぐりん,暗黒界の策士 グリン,短縮よみ
けっかいつうろ,暗黒界に続く結界通路,短縮よみ
けると,暗黒界の鬼神 ケルト,短縮よみ
ごるど,暗黒界の武神 ゴルド,短縮よみ
しるば,暗黒界の軍神 シルバ,短縮よみ
すかー,暗黒界の斥候 スカー,短縮よみ
すのう,暗黒界の術師 スノウ,短縮よみ
ずーる,暗黒界の騎士 ズール,短縮よみ
せるり,暗黒界の導師 セルリ,短縮よみ
ぜんた,暗黒界の門番 ゼンタ,短縮よみ
とうきょく,登極
ぱある,暗黒界の隠者 パアル,短縮よみ
ぶらう,暗黒界の狩人 ブラウ,短縮よみ
ぶろん,暗黒界の狂王 ブロン,短縮よみ
べーじ,暗黒界の尖兵 ベージ,短縮よみ
らちな,暗黒界の闘神 ラチナ,短縮よみ
れいん,暗黒界の魔神王 レイン,短縮よみ
れいん,暗黒界の魔神 レイン,短縮よみ
れんじ,暗黒界の番兵 レンジ,短縮よみ
