Reading,Word,Category
あいざれおん,Aizaβ.LEON
あいざれおん,糾罪巧－Aizaβ.LEON,短縮よみ
あすたぴくしあ,Astaγ.PIXIEA
あすたぴくしあ,糾罪巧－Astaγ.PIXIEA,短縮よみ
あとりまーる,Atoriϝ.MAR
あとりまーる,糾罪巧－Atoriϝ.MAR,短縮よみ
あらぞにあ,alazoneIA
あらぞにあ,糾罪巧β’－「alazoneIA」,短縮よみ
あーくている,Archaη.TAIL
あーくている,糾罪巧－Archaη.TAIL,短縮よみ
えくと,ϝ’
えなと,θ’
えにあくらふと,糾罪巧
えにあくらふとあいざれおん,糾罪巧－Aizaβ.LEON
えにあくらふとあすたぴくしあ,糾罪巧－Astaγ.PIXIEA
えにあくらふとあとりまーる,糾罪巧－Atoriϝ.MAR
えにあくらふとあーくている,糾罪巧－Archaη.TAIL
えにあくらふとえくととろまりあ,糾罪巧ϝ’－「tromarIA」
えにあくらふとえなとおくにりあ,糾罪巧θ’－「oknirIA」
えにあくらふとでふてろあらぞにあ,糾罪巧β’－「alazoneIA」
えにあくらふとぷろとおるぎあ,糾罪巧α’－「orgIA」
えにあくらふとりりーす,糾罪巧－始導
えにあぽりす,エニアポリス
えにあぽりす,糾罪都市－エニアポリス,短縮よみ
おくにりあ,oknirIA
おくにりあ,糾罪巧θ’－「oknirIA」,短縮よみ
おるぎあ,orgIA
おるぎあ,糾罪巧α’－「orgIA」,短縮よみ
きゅうざいとし,糾罪都市
きゅうざいとしえにあぽりす,糾罪都市－エニアポリス
でふてろ,β’
とろまりあ,tromarIA
とろまりあ,糾罪巧ϝ’－「tromarIA」,短縮よみ
ぷろと,α’
りりーす,始導
りりーす,糾罪巧－始導,短縮よみ
