Reading,Word,Category
かくがた,電池メン－角型,短縮よみ
ぎょうむよう,電池メン－業務用,短縮よみ
くいっくちゃーじゃー,急速充電器,
けいたいがたばってりー,携帯型バッテリー,
しょーとさーきっと,漏電,
じゅうでんちめん,充電池メン,
たいようでんちめん,太陽電池メン,
たんいちがた,電池メン－単一型,短縮よみ
たんさんがた,電池メン－単三型,短縮よみ
たんにがた,電池メン－単二型,短縮よみ
たんよんがた,電池メン－単四型,短縮よみ
ちょうでんじかどう,超電磁稼働,
ちょうでんじかどうぼるてっくどらごん,超電磁稼働ボルテック・ドラゴン,
でんちめん,電池メン,
でんちめんかくがた,電池メン－角型,
でんちめんぎょうむよう,電池メン－業務用,
でんちめんたんいちがた,電池メン－単一型,
でんちめんたんさんがた,電池メン－単三型,
でんちめんたんにがた,電池メン－単二型,
でんちめんたんよんがた,電池メン－単四型,
でんちめんぼたんがた,電池メン－ボタン型,
ねんりょうでんちめん,燃料電池メン,
ばってりーちゃーじゃー,充電器,
ぼたんがた,電池メン－ボタン型,短縮よみ
ぼるてっくどらごん,超電磁稼働ボルテック・ドラゴン,短縮よみ
